country,year,SHADOW,SHADOW_MIMIC,TAX,ACCOUNT,DIGPAY,ATM_per100k,LGDPPC,GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,REG_QUALITY,RULE_OF_LAW,INST
Kyrgyz Republic,2018,34.2123,36.3599,17.9989,41.230199999999996,36.902775000000005,36.3014,7.069084105588315,1175.0713,98.8756,4.559,1.5427,32.5056,34.9409,137.7423,3.9518,-0.3502,-0.6922,-0.5212
Kyrgyz Republic,2019,33.7516,36.0072,15.9638,42.5184,37.74445,38.5481,7.091639780408222,1201.877,94.4303,5.45,1.1336,28.7859,34.8805,132.7767,4.1437,-0.4212,-0.7384,-0.5798
Kyrgyz Republic,2020,33.185,37.6041,14.0363,43.8066,38.586124999999996,41.1053,6.996982083432416,1093.3286,78.9923,5.945,6.3254,31.807,34.8174,109.7801,4.3366,-0.4846,-0.7295,-0.60705
Moldova,2011,43.1295,42.8951,15.2403,18.0663,5.636115162205179,35.9965,7.784450139339912,2402.9445,98.6176,2.677,7.6873,21.5478,39.3469,90.442,10.0168,-0.1976,-0.2783,-0.23795
Moldova,2012,43.0626,42.6245,15.5953,17.962766666666667,9.575431920594461,39.0766,7.778666438002582,2389.0867,96.3064,2.189,4.5463,22.8087,39.3614,102.919,12.0173,-0.287,-0.3605,-0.32375
Moldova,2013,43.5676,41.6728,15.4696,17.859233333333332,12.558296346661585,42.5667,7.8655143116756285,2605.8503,95.6873,1.894,4.5979,23.0768,39.4276,108.4517,13.7695,-0.2287,-0.4252,-0.32695
Moldova,2014,43.2456,40.7818,16.8288,17.7557,15.2323,46.0331,7.914910651149045,2737.8019,94.2283,1.45,5.0888,22.0793,39.6298,111.8292,15.233,-0.1363,-0.3649,-0.2506
Moldova,2015,43.9689,41.3559,16.291,26.432366666666667,23.613966666666666,41.9591,7.919193050081189,2749.5514,88.9664,1.781,9.6762,19.751,39.6954,112.9587,16.257,-0.1993,-0.4193,-0.3093
Moldova,2016,44.0635,41.1624,16.4301,35.10903333333333,31.99563333333333,45.9072,7.97623645066786,2910.9549,89.0047,1.591,6.3593,18.3841,39.7373,117.0084,17.2155,-0.2316,-0.4243,-0.32795
Moldova,2017,43.5457,40.6545,17.7274,43.7857,40.3773,49.3343,8.03441490457878,3085.3331,88.6234,1.622,6.5702,17.2146,39.9737,117.321,18.2975,-0.1223,-0.4332,-0.27775
Moldova,2018,43.8613,40.1996,18.0141,48.90065,45.222224999999995,52.2156,8.09193226258873,3267.9961,87.4468,1.239,3.0451,16.3337,40.3258,115.32,19.7584,-0.186,-0.4035,-0.29475
Moldova,2019,43.6291,39.7785,17.6563,54.015600000000006,50.06715,53.1991,8.142842170612175,3438.6773,87.6322,1.502,4.8378,16.2728,40.7723,116.1052,21.5427,-0.1133,-0.3747,-0.244
Moldova,2020,42.7831,40.4242,17.9099,59.13055000000001,54.912075,53.1232,8.067436608345039,3188.9169,79.2657,1.206,3.766,16.2749,41.3369,111.4447,23.4269,-0.1519,-0.3778,-0.26485000000000003
North Macedonia,2011,34.3292,36.3755,16.9997,73.6989,50.25031901880963,55.8522,8.457683136988742,4711.1303,113.1919,31.502,3.9048,4.1366,58.241,108.4676,13.7992,-0.0874,-0.387,-0.23720000000000002
North Macedonia,2012,34.1046,36.4882,16.4167,73.06543333333333,51.74289029765294,54.3609,8.457029449628285,4708.0517,112.2148,31.096,3.3161,4.0446,58.3924,110.2684,15.4034,0.2094,-0.1897,0.009849999999999998
