country,year,SHADOW (author: WB Informal Economy DB - DGE),SHADOW_MIMIC (author: MIMIC series),TAX,ACCOUNT,DIGPAY,"ATM_per100k (WB, real)",POS_ATM (author: add POS from IMF FAS),CASHLESS_VAL (author: IMF FAS),"CASH (author: currency/M2, IFS/central bank)",GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE (author: ITU),BROADBAND
Bosnia and Herzegovina,2020,,,18.7506,,,57.0507,,,,5490.7537,82.5216,15.868,-1.0513,9.5473,49.9711,106.3747,-0.3742,-0.3026,-0.3384,,23.3508
Bosnia and Herzegovina,2021,,,19.0981,79.3379,66.5192,57.989,,,,5995.542,96.7391,14.897,1.9816,10.4675,50.4899,114.9116,-0.3798,-0.3075,-0.3437,,24.5891
Bosnia and Herzegovina,2022,,,19.0911,,,59.5437,,,,6327.1621,110.2053,12.657,14.0208,10.5209,51.0215,118.9444,-0.3795,-0.2897,-0.3346,,27.319
Bulgaria,2004,,,21.0296,,,26.4091,,,,4850.1192,93.0639,12.037,6.1471,6.5857,69.9193,61.0333,0.5421,-0.0941,0.224,,0.0858
Bulgaria,2005,,,20.8855,,,34.4677,,,,5231.6054,99.7142,10.083,5.0388,5.3997,70.087,81.1551,0.6354,-0.1161,0.2596,,2.1503
Bulgaria,2006,,,21.812,,,54.8196,,,,5630.0891,111.0475,8.951,7.2616,4.9922,70.5075,108.0248,0.5522,-0.0699,0.2412,,5.0348
Bulgaria,2007,,,21.7606,,,67.5316,,,,6049.0514,123.5326,6.878,8.4025,3.8114,70.6844,130.455,0.5972,-0.0332,0.282,,8.2916
Bulgaria,2008,,,21.9739,,,79.9325,,,,6465.0523,124.6888,5.609,12.3487,3.5215,70.9021,138.3967,0.6293,-0.147,0.2411,,11.1942
Bulgaria,2009,,,18.5865,,,87.7615,,,,6289.0467,92.6926,6.817,2.7532,3.0596,71.3017,139.6208,0.5009,-0.1394,0.1808,,13.3284
Bulgaria,2010,,,17.8714,,,90.5102,,,,6429.046,103.3805,10.279,2.439,2.6294,71.5149,137.1403,0.4827,-0.2998,0.0915,,15.1221
